haedicke-m|Products
davis-d|FYI
andrew_lewis|Old Messages
shackleton-s|Cuiaba
mcconnell-m|Bergseiker
john_lavorato|Powereast
badeer-r|Drafts
kenneth_lay|Calendar
juan_hernandez|24-hr power
john_griffith|EOL
darrell_schoolcraft|Citizens Griffith
platter-p|Drafts
john_griffith|Preston vpp
don_baughman|UBSW Online
gay-r|Discussion threads
haedicke-m|MSU
cash-m|Phone Lists
farmer-d|Personal
bass-e|Sent Items
hernandez-j|Drafts
andy_zipper|Drafts (Lotus Notes)
louise_kitchen|EES
smith-m|Demand Information
sturm-f|Personnel
germany-c|Gulf South
neal-s|Ngpl
kitchen-l|EES
hunter_shively|PRC
john_arnold|Discussion threads
kate_symes|Scheduling
elizabeth_sager|Calendar
davis-d|Personal
davis-d|Vargas becton lamb galvan
mims-p|Discussion threads
andy_zipper|TQ
hayslett-r|Wessex
parks-j|Calendar
stclair-c|Ees matters
louise_kitchen|EIM
diana_scholtes|E-TAG
symes-k|Human resources
dan_hyvl|Power projects
beck-s|Scribner, james
lynn_blair|Sent Items
john_arnold|Dell
kuykendall-t|Sent Items
beck-s|Pearce, barry
mark_taylor|analyst prog
shackleton-s|Blackbird
mark_whitt|Sent Items
watson-k|Capacity
heard-m|All documents
baughman-d|Expense acct
griffith-j|Calendar
shapiro-r|Generation
mckay-b|Notes inbox
gilbertsmith-d|Origination
jane_tholt|Sent
carson-m|Contacts
hayslett-r|Goals 2000
mark_taylor|stored messages
andrew_lewis|'sent mail
mary_hain|Calendar
storey-g|canada
davis-d|Save the Date
andrea_ring|'sent mail
arora-h|Discussion threads
thomas-p|Inbox
tholt-j|'sent mail
chris_stokley|Regulatory
keavey-p|'Sent Mail
dasovich-j|October 17, 2001 President Bush Visit^
juan_hernandez|Drafts
williams-b|Settlements
louise_kitchen|East Power
griffith-j|Chase mah_stone
kimberly_watson|Negotiated Rates
kevin_ruscitti|Inbox
dasovich-j|Telecom
dean-c|Info
geaccone-t|Azurix
mccarty-d|M&A
martin-t|Tom's Docs
motley-m|West Gas
steffes-j|Alliance RTO
dasovich-j|Mba--finance study group
blair-l|Personnel - PAA
debra_perlingiere|Inbox
chris_stokley|INFO
campbell-l|Ngo's
geaccone-t|Tracy
baughman-d|ECT Admin
taylor-m|John Mas
badeer-r|Capx
elizabeth_sager|Inbox
mclaughlin-e|Drafts
corman-s|Budget
tholt-j|Drafts
hayslett-r|Acquisitions
rogers-b|Genco
whalley-g|Controls
corman-s|Discussion threads
zipper-a|TSS
gerald_nemec|Sent
cuilla-m|10 fantasy
ring-r|Inbox
chris_stokley|IT
james_steffes|ICAP Policy
lynn_blair|Personnel - Shift Differential
hayslett-r|Northern Border
shackleton-s|Laptop
campbell-l|Socal pcb's
taylor-m|Content
keiser-k|Contacts
brawner-s|John memos
larry_campbell|EOTT MIdland
larry_campbell|Nsps for turbines
sager-e|Sent Items
shapiro-r|Affiliate Codes of Conduct
jeff_dasovich|Speeches
griffith-j|Supply
cash-m|Meeting invites_confirms
beck-s|Personnel issues
geaccone-t|Adaytum
arora-h|Savedmail
brawner-s|Discussion threads
maggi-m|Tasks
bass-e|Discussion threads
mims-p|Drafts
hyvl-d|Engage
baughman-d|MAPP
white-s|Tasks
hyvl-d|Guadalupe
pereira-s|clickathome
campbell-l|Eott midland
white-s|Discussion threads
mann-k|Nimo
mark_taylor|SO2
ring-r|EESIDealsGSARegion1
danny_mccarty|2001 objectives
corman-s|Marketingaffiliate
shapiro-r|Southeast
shankman-j|All documents
judy_townsend|Notes inbox
whitt-m|Sent Items
dana_davis|Vargas Becton Lamb
benjamin_rogers|Drafts
beck-s|Gossett  Jeff
sanders-r|Recruiting
marie_heard|Calendar
arnold-j|Weekly report
louise_kitchen|IT
juan_hernandez|Judy
love-p|EAST Desk
schwieger-j|Notes
kenneth_lay|Elizabeth
haedicke-m|California
baughman-d|To Do
chris_germany|Systems
beck-s|Prudency
shapiro-r|Refund Cases
jim_schwieger|Credit Issues
jason_wolfe|Inbox
hunter_shively|Contacts
mark_taylor|Time off
mark_haedicke|Contacts
jay_reitmeyer|Sent Items
whalley-g|Merchant Investments
mckay-j|UBSWenergy.com
hayslett-r|Acceptances
chris_germany|Inbox
ring-a|Drafts
john_lavorato|PRC
chris_germany|Transwestern
williams-b|El Paso
may-l|Sent Items
love-p|Risk Management
campbell-l|Marc phillips
mark_taylor|parking
kitchen-l|Gas
darrell_schoolcraft|Untitled
beck-s|Promotions
mcconnell-m|SwitchPoint
michelle_cash|PRC
don_baughman|CCV
john_lavorato|Old Inbox
louise_kitchen|Restructuring
germany-c|Appalachain
cash-m|Inbox
john_griffith|System wip
beck-s|EOL
jones-t|Sent Items
lay-k|Elizabeth
cooper_richey|Calendar
mark_taylor|11_99
john_lavorato|jean
blair-l|Print
rogers-b|All documents
mike_carson|Calendar
dan_hyvl|Hilcorp
arora-h|Presentations
danny_mccarty|Stupid Things
shapiro-r|Cftc
stclair-c|Smud e-mails
stokley-c|MRKT INFO
watson-k|Sun Devil Expansion
lynn_blair|Ibuyit Information
neal-s|'Sent Mail
kevin_presto|Drafts
kevin_ruscitti|Michcon
jeff_dasovich|Pg&e pbr
chris_germany|Transco
judy_townsend|Discussion threads
don_baughman|MDEA
don_baughman|Options
james_steffes|Environmental
bass-e|Houston Concert Update^
schoolcraft-d|'Sent Mail
weldon-c|UBS
cooper_richey|houstonfundamentals
lokay-m|Corporate
louise_kitchen|Turbines
kitchen-l|Board
haedicke-m|360Network
fletcher_sturm|All documents
motley-m|Fundies
don_baughman|Job referals
mark_taylor|07
baughman-d|Miso
donohoe-t|Notes inbox
dan_hyvl|Guadalupe
mark_haedicke|Inbox
michael_maggi|Drafts
kevin_ruscitti|To Do
derrick-j|All documents
hayslett-r|Contacts
chris_dorland|Discussion threads
darrell_schoolcraft|PHFFU
shackleton-s|Trs
bill_rapp|marketing affiliate
kevin_hyatt|Capacity Marketing
keiser-k|Calendar
campbell-l|Miscellaneous
germany-c|Contacts
hayslett-r|Projects
kate_symes|Ees
jones-t|Trading issues
dan_hyvl|Gre
tycholiz-b|Contacts
hyvl-d|All documents
michelle_cash|Notes inbox
